newacct_no,tenure,effc_strt_date,effc_end_date,contract_month,ce_expiry,secured_revenue,bandwidth,term_reas_code,complaint_cnt,with_phone_service,churn
74291576.001.000016277,161,2018-10-01,2020-09-30,24,8,144,100M,0,0,1,0
72454846.001.000009484,171,2019-05-26,2021-05-25,24,15,240,100M (FTTO),0,0,0,0
95446191.001.000086526,5,2017-11-20,2019-11-19,24,-3,258,100M,0,0,0,1
71866396.001.000006759,181,2019-09-30,2021-10-30,25,21,178,10M,0,0,1,0
93865194.001.000064835,63,2017-06-02,2019-01-06,24,-8,286,100M (FTTO),0,0,0,1
91505552.002.000084564,11,2019-06-24,2021-07-23,25,17,178,30M,0,0,0,0
93576809.001.000062028,74,2016-11-30,2018-12-30,25,-13,320,100M,0,0,0,1
95426359.001.000086218,23,2017-11-14,2019-11-13,24,-3,90,100M,0,0,0,1
75825877.001.000024223,137,2019-01-30,2021-01-29,24,12,190,100M,0,0,1,0
75076406.001.000020124,149,2019-03-04,2022-03-11,44,33,230,100M,0,0,1,0
91116699.001.000044815,118,2018-10-06,2020-05-10,24,8,462,100M,0,0,1,0
95626651.001.000088486,5,2018-05-03,2020-02-05,24,3,288,100M,0,0,0,0
96292305.001.000094743,6,2019-06-22,2021-06-21,24,16,138,100M (FTTO),0,0,0,0
76092279.002.000062461,80,2012-02-01,2014-01-31,24,-72,1300,10M,0,0,0,0
94341898.001.000071868,60,2020-01-09,2023-08-01,36,35,343,100M,0,0,1,0
73882037.001.000014500,152,2016-07-02,2018-01-07,24,-19,160,30M,0,0,0,1
94640273.001.000086077,17,2017-10-19,2019-10-18,24,-4,478,100M,0,0,0,1
90958612.001.000038877,122,2019-08-03,2021-02-08,24,18,296,100M,0,0,1,0
95470811.001.000086843,10,2019-12-04,2021-03-12,24,22,90,100M,0,0,0,0
93881043.001.000065002,59,2018-11-01,2020-10-31,24,9,248,100M,0,0,1,0
94942927.001.000080900,17,2018-10-18,2020-10-17,24,8,323,10M,0,0,0,0
74724006.001.000080195,26,2018-09-06,2020-05-09,24,7,156,100M,0,0,1,0
94540911.001.000074692,49,2019-11-01,2021-10-31,24,21,178,100M,0,0,0,0
70892963.001.000030264,117,2018-09-01,2020-08-31,24,7,270,100M,0,0,1,0
96297569.001.000094870,0,2019-06-25,2021-06-24,24,16,0,100M,0,0,0,0
94254786.001.000070268,44,2018-09-01,2020-08-31,24,7,288,100M,0,0,0,0
71153423.001.000004204,183,2017-05-20,2020-07-19,38,5,150,30M,0,0,0,0
96214705.001.000094066,7,2019-05-17,2021-05-16,24,15,308,1000M (FTTO),0,0,0,0
94213303.001.000069690,46,2018-06-21,2020-06-20,24,4,178,30M,0,0,1,0
92738673.001.000058794,94,2019-05-01,2021-04-30,24,15,210,30M,0,0,1,0
95250932.001.000084116,19,2019-06-16,2021-06-15,24,16,188,100M,0,0,0,0
94971355.001.000081295,30,2016-11-16,2018-11-15,24,-15,350,300M (FTTO),0,0,0,0
95748232.001.000090100,13,2018-07-25,2020-07-24,24,5,118,100M (FTTO),0,0,0,0
94388600.001.000072580,56,2019-02-13,2021-12-02,24,12,138,100M,0,0,1,0
72272602.001.000008555,180,2019-01-09,2021-08-01,24,11,178,100M,0,0,1,0
95166617.002.000085531,7,2017-09-22,2020-09-21,36,7,792,100M (FTTO),0,0,0,0
75888206.001.000024489,137,2017-04-07,2020-06-04,36,2,184,100M (FTTO),0,0,0,0
94494051.001.000074094,43,2019-10-13,2021-12-10,24,20,145,100M (FTTO),0,0,0,0
91712950.001.000060922,73,2019-05-17,2021-05-16,24,15,528,100M,0,0,0,0
94883444.001.000080073,18,2018-08-11,2020-10-08,24,6,140,100M (FTTO),0,0,0,0
94353620.001.000072054,42,2016-12-16,2018-12-15,24,-14,1800,30M,0,0,0,1
96123674.001.000093281,2,2019-06-27,2021-06-26,24,17,228,1000M (FTTO),0,0,0,0
92036102.001.000061946,81,2018-07-01,2020-06-30,24,5,188,100M,0,0,0,0
95880688.001.000091366,10,2018-10-15,2020-10-14,24,8,1763,1000M (FTTO),0,0,0,0
90958463.001.000087301,11,2018-01-17,2020-01-16,24,-1,140,100M,0,0,0,0
90462011.003.000038133,100,2019-10-01,2021-09-30,24,20,2500,100M,0,0,1,0
72227614.001.000008281,183,2019-10-28,2021-12-27,26,23,288,100M,0,0,0,0
95725412.001.000089684,12,2018-06-30,2020-06-29,24,5,138,100M,0,0,0,0
94696663.001.000077224,40,2020-01-27,2022-01-26,24,24,166,10M,0,0,0,0
94977055.001.000081386,17,2018-11-09,2020-08-11,24,9,198,100M,0,0,0,0
95240842.001.000083995,19,2019-06-18,2021-06-17,24,16,140,30M,0,0,0,0
95604948.001.000088253,8,2018-06-09,2020-08-06,24,4,188,100M (FTTO),0,0,0,0
96187729.001.000093776,6,2019-04-17,2021-04-16,24,14,120,100M (FTTO),0,0,0,0
95246641.001.000084086,18,2019-07-04,2021-03-07,24,17,1378,100M,0,0,0,0
90928193.001.000037990,110,2017-11-13,2020-12-02,27,0,160,30M,0,0,1,0
75561225.001.000022737,129,2019-08-03,2021-02-08,24,18,136,10M,0,0,1,0
95676664.001.000089209,6,2018-06-07,2020-06-06,24,4,300,1000M (FTTO),0,0,0,0
91283283.001.000048643,96,2019-11-22,2021-11-21,24,21,300,50M,0,0,0,0
74566878.001.000017563,154,2019-07-02,2021-01-07,24,17,171,100M (FTTO),0,0,1,0
93885366.001.000065064,79,2019-05-29,2021-05-28,24,16,229,100M,0,0,1,0
92091842.001.000056253,97,2019-06-26,2021-06-25,24,16,1179,100M (FTTO),0,0,1,0
75151415.001.000020582,139,2019-04-18,2021-04-17,24,14,242,10M,0,0,1,0
94686979.003.000080097,30,2019-08-15,2019-10-14,2,-4,848,10M,0,0,0,1
75154633.001.000020602,135,2019-12-19,2021-12-18,24,22,178,100M,0,0,1,0
93918936.001.000065613,73,2019-07-01,2021-06-30,24,17,188,100M (FTTO),0,0,1,0
71782593.001.000006331,182,2018-03-29,2020-03-28,24,2,358,30M,0,0,0,0
95398699.001.000085888,12,2019-11-29,2021-11-28,24,22,248,30M,0,0,0,0
94903986.001.000080356,22,2018-09-07,2020-06-09,24,7,368,300M (FTTO),0,0,0,0
94787249.001.000078622,34,2018-05-09,2020-08-05,24,3,160,100M,0,0,0,0
90331026.001.000029878,117,2019-01-05,2021-04-01,24,11,163,30M,0,0,1,0
95079034.001.000082366,23,2017-03-17,2020-03-16,36,1,140,100M,0,0,0,0
93884104.001.000065045,64,2019-03-13,2021-12-03,24,13,319,100M,0,0,1,0
94795192.001.000078750,21,2018-05-16,2020-06-15,25,4,138,10M,0,0,0,0
94847704.001.000079553,35,2018-09-26,2020-09-25,24,7,316,100M,0,0,0,0
71530836.001.000076108,48,2018-12-30,2020-12-29,24,11,330,30M,0,0,0,0
90688193.002.000065116,71,2015-05-09,2017-08-05,24,-33,408,100M,0,0,0,1
90988270.001.000041603,100,2017-07-01,2019-06-30,24,-7,514,10M,0,0,1,1
94816568.001.000079044,39,2016-12-09,2020-08-07,43,5,150,100M,0,0,0,0
74101551.001.000080054,37,2018-08-11,2020-10-08,24,6,90,100M,0,0,1,0
91188037.001.000045368,105,2018-01-14,2020-01-13,24,-1,208,100M,0,0,1,0
95966297.001.000092075,4,2018-12-08,2021-07-12,36,22,360,1000M (FTTO),0,0,0,0
96010467.001.000093508,3,2019-03-29,2021-03-28,24,14,456,1000M (FTTO),0,0,0,0
95136636.001.000082949,27,2017-03-30,2020-03-29,36,2,158,100M,0,0,0,0
95094934.001.000082503,25,2019-02-23,2021-02-22,24,12,129,100M,0,0,0,0
78146610.001.000027533,132,2018-05-30,2020-05-29,24,4,797,10M,0,0,0,0
95105557.001.000082609,21,2019-12-01,2021-11-30,24,22,90,100M,0,0,0,0
95078770.001.000082367,31,2017-03-21,2020-03-20,36,1,318,100M (FTTO),0,0,0,0
74827544.001.000018899,147,2018-10-24,2020-10-23,24,8,305,100M,0,0,1,0
90043050.001.000038050,117,2015-05-01,2017-04-30,24,-33,593,100M,0,1,1,1
90763376.002.000084410,25,2019-11-08,2021-07-11,24,21,717,100M,0,0,1,0
93614238.001.000089888,14,2018-08-13,2020-12-08,24,6,263,100M,0,0,0,0
74697418.001.000018326,141,2018-03-06,2020-02-11,32,9,140,100M,0,0,1,0
73672214.002.000060080,84,2017-08-21,2020-02-20,30,0,186,30M,0,0,1,0
75021543.004.000068096,52,2020-01-10,2022-09-01,24,23,280,30M,0,0,1,0
94828621.001.000079217,28,2018-06-21,2020-06-20,24,4,328,100M,0,0,0,0
75524165.001.000022577,150,2019-05-08,2021-07-07,26,17,183,100M,0,0,0,0
92453877.001.000057726,88,2019-05-28,2021-05-27,24,16,241,30M,0,0,1,0
95142410.001.000083005,20,2017-06-26,2019-06-25,24,-8,198,100M,0,0,0,1
95806725.001.000090693,16,2018-08-20,2020-08-19,24,6,90,100M,0,0,0,0
77373611.001.000083029,23,2019-03-24,2021-03-23,24,13,114,100M,0,0,1,0
95779054.001.000090401,12,2018-08-18,2020-08-17,24,6,90,100M,0,0,0,0
75486597.001.000022338,136,2018-04-30,2020-04-29,24,3,140,100M (FTTO),0,0,1,0
95539508.001.000087510,12,2018-11-09,2020-08-11,24,9,168,100M,0,0,0,0
76458272.001.000059392,86,2019-10-25,2021-10-24,24,20,612,30M,0,0,0,0
93714566.001.000062831,79,2019-01-16,2022-10-15,45,32,528,1000M (FTTO),0,0,1,0
76730175.001.000026265,127,2019-11-03,2021-02-11,24,21,178,100M,0,0,1,0
95736054.001.000089970,7,2018-08-02,2020-01-08,24,6,138,100M,0,0,0,0
96068853.001.000092862,10,2020-01-11,2023-10-01,36,35,138,100M,0,0,0,0
90339433.001.000029924,116,2018-07-16,2020-12-15,29,10,900,100M,0,1,1,0
76559624.002.000050669,116,2010-04-20,2011-04-19,12,-106,339,BELOW 10M,0,0,0,0
91178657.001.000045328,105,2017-12-30,2019-12-29,24,-1,170,100M,0,0,1,0
93813590.001.000063991,78,2019-02-01,2021-01-31,24,12,140,10M,0,0,1,0
95928552.001.000091745,4,2018-11-08,2020-07-11,24,9,198,1000M (FTTO),0,0,0,0
95880670.001.000091365,14,2018-10-05,2020-04-10,24,8,118,100M (FTTO),0,0,0,0
94656675.001.000076513,46,2019-12-31,2020-12-30,12,11,145,30M,0,0,0,0
93045706.002.000088858,18,2018-06-04,2020-03-06,24,4,1800,1000M (FTTO),0,0,0,0
72925480.003.000067984,63,2020-01-01,2021-12-31,24,23,178,100M (FTTO),0,0,1,0
70966957.001.000003494,194,2019-05-01,2021-04-30,24,15,136,10M,0,0,0,0
75485946.001.000022334,127,2019-04-08,2021-07-04,24,14,163,10M,0,0,0,0
94415189.001.000073044,52,2019-03-30,2021-03-29,24,14,193,50M,0,0,0,0
94480761.001.000073914,54,2019-06-18,2021-06-17,24,16,228,100M,0,0,0,0
94715810.001.000077550,29,2018-05-10,2020-09-05,24,3,146,100M,0,0,0,0
93862084.001.000064716,56,2019-09-01,2021-08-31,24,19,178,30M,0,0,0,0
91630889.002.000089660,11,2018-07-18,2021-01-17,30,11,248,100M (FTTO),0,0,1,0
75033779.001.000019906,155,2018-12-04,2020-03-12,24,10,188,100M (FTTO),0,0,1,0
91370742.001.000050616,106,2016-02-10,2018-09-02,24,-24,175,10M,0,0,0,1
94115318.001.000068269,54,2019-01-01,2022-02-28,38,25,260,100M,0,0,0,0
70778477.001.000002603,202,2018-12-19,2020-12-18,24,10,385,100M,0,0,0,0
90931767.001.000081866,21,2019-09-26,2021-09-25,24,19,98,100M (FTTO),0,0,1,0
91733485.001.000082703,11,2019-03-09,2021-08-03,24,13,656,100M,0,0,1,0
90591439.001.000039295,109,2016-05-24,2020-11-23,54,9,610,30M,0,0,1,0
93618775.001.000087487,3,2018-02-02,2020-01-02,24,0,180,100M,0,0,1,0
76565829.001.000055232,91,2018-04-01,2020-03-31,24,2,136,10M,0,0,1,0
94436219.002.000092102,8,2018-11-27,2021-11-26,36,22,950,1000M (FTTO),0,0,0,0
94361391.001.000072192,52,2015-02-01,2018-01-31,36,-24,0,1000M (FTTO),0,0,1,0
74005182.001.000014933,159,2019-09-11,2021-10-09,24,19,198,100M,0,1,0,0
95598801.001.000088506,1,2018-04-27,2020-04-26,24,3,280,100M,0,0,0,0
94813441.001.000078980,21,2018-03-06,2020-05-06,27,4,140,100M,0,0,0,0
95190195.001.000083784,15,2019-06-20,2021-06-19,24,16,295,100M,0,0,0,0
76314434.001.000025744,125,2018-05-21,2020-05-20,24,3,150,100M (FTTO),0,0,1,0
94871498.001.000079931,20,2018-07-25,2020-07-24,24,5,118,100M,0,0,0,0
93456333.001.000061385,90,2018-05-30,2020-05-29,24,4,148,100M (FTTO),0,0,1,0
95138723.001.000082965,13,2019-04-06,2020-05-10,18,8,475,1000M (FTTO),0,0,0,0
73359515.001.000012068,174,2019-03-25,2021-03-24,24,13,178,100M,0,0,1,0
74616616.001.000017836,150,2019-03-23,2021-03-22,24,13,178,100M,0,0,1,0
91687749.001.000054200,87,2019-03-01,2021-02-28,24,13,136,10M,0,0,1,0
91205666.001.000046022,102,2019-05-27,2022-02-26,33,25,136,10M,0,0,1,0
95661468.001.000088909,10,2018-05-21,2021-05-20,36,15,140,100M,0,0,0,0
72380355.001.000009155,184,2019-04-15,2021-04-14,24,14,1032,100M (FTTO),0,0,0,0
95409280.001.000085974,4,2019-10-19,2021-10-18,24,20,298,100M (FTTO),0,0,0,0
73924060.001.000082088,34,2019-02-13,2021-12-02,24,12,238,100M (FTTO),0,0,1,0
75385096.001.000021741,134,2019-01-01,2020-12-31,24,11,168,10M,0,0,0,0
73958449.001.000014708,159,2019-07-31,2021-07-30,24,18,178,30M,0,0,1,0
74367137.001.000016610,158,2018-08-13,2020-12-08,24,6,150,100M,0,0,0,0
94896479.001.000080270,20,2018-08-19,2020-08-18,24,6,160,100M,0,0,0,0
91586198.001.000053260,106,2018-05-25,2020-05-24,24,3,188,30M,0,0,1,0
94484177.001.000073976,33,2019-08-12,2020-11-08,12,6,362,100M,0,0,0,0
77543841.001.000027130,126,2018-01-26,2020-02-25,25,0,148,100M,0,0,1,0
95767638.001.000090279,10,2018-07-31,2020-07-30,24,6,140,100M,0,0,0,0
94442910.001.000073432,38,2019-05-07,2021-06-05,24,15,160,100M (FTTO),0,0,0,0
96106695.001.000093168,3,2019-03-01,2021-02-28,24,13,228,1000M (FTTO),0,0,0,0
94045846.001.000067379,56,2019-12-13,2021-12-12,24,22,788,100M (FTTO),0,0,0,0
94658663.001.000076500,29,2015-12-04,2017-03-12,24,-27,124,100M,0,0,0,1
90241886.003.000059110,95,2019-09-24,2021-09-23,24,19,142,10M,0,0,1,0
73593410.001.000013036,154,2019-04-02,2021-01-04,24,14,305,30M,0,0,1,0
92062603.001.000056109,91,2018-12-18,2021-01-17,25,11,148,10M,0,0,0,0
92042399.001.000056020,104,2019-01-10,2021-09-01,24,11,247,10M,0,0,1,0
95502241.001.000087149,3,2018-01-11,2020-10-01,24,-1,140,100M,0,0,0,0
94669454.001.000076727,43,2019-01-11,2021-10-01,24,11,266,100M,0,0,0,0
95190195.001.000083486,26,2019-05-08,2021-07-05,24,15,595,100M,0,0,0,0
91354407.001.000050364,105,2018-01-29,2020-09-28,32,8,385,100M (FTTO),0,0,1,0
90135112.002.000074858,39,2018-08-18,2020-08-17,24,6,2340,1000M (FTTO),0,0,1,0
95103065.001.000089495,1,2018-07-23,2020-07-22,24,5,1224,1000M (FTTO),0,0,0,0
95545729.001.000087586,9,2020-02-03,2022-02-02,24,24,140,100M,0,0,0,0
93925485.001.000065730,58,2019-11-22,2021-11-21,24,21,150,100M,0,0,1,0
95091948.001.000082767,17,2019-03-13,2021-12-03,24,13,310,100M,0,0,0,0
91938134.002.000059190,78,2018-05-01,2020-04-30,24,3,242,10M,0,0,0,0
96186168.001.000093755,4,2019-04-04,2021-03-04,24,14,188,1000M (FTTO),0,0,0,0
94936440.001.000080802,26,2018-09-29,2020-09-28,24,8,108,100M,0,0,0,0
95215232.001.000083749,8,2017-05-25,2019-05-24,24,-9,90,100M,0,0,0,1
91509208.001.000082647,11,2017-03-21,2019-03-20,24,-24,319,10M,0,0,0,1
92056795.001.000056073,97,2019-01-13,2021-12-01,24,11,208,100M,0,0,1,0
75027680.001.000075118,44,2019-08-20,2021-09-19,25,19,320,30M,0,0,1,0
90993858.001.000041826,100,2019-08-17,2021-08-16,24,18,358,100M (FTTO),0,0,1,0
93101020.001.000086563,22,2019-11-30,2021-11-29,24,22,1430,100M,0,0,1,0
96029277.004.000093037,1,2019-02-22,2021-02-21,24,12,456,1000M (FTTO),0,0,0,0
91178061.001.000045325,112,2017-11-01,2019-10-31,24,-3,168,100M (FTTO),0,0,0,1
94927845.001.000080704,35,2018-09-30,2020-09-29,24,8,140,10M,0,0,0,0
95209847.001.000083700,10,2019-05-15,2021-05-14,24,15,143,100M,0,0,0,0
91937623.001.000055380,88,2018-10-05,2020-04-10,24,8,136,10M,0,0,0,0
73374332.001.000012128,175,2018-08-06,2020-05-08,24,6,160,100M,0,0,1,0
93981009.001.000066600,55,2019-06-13,2021-12-06,24,16,178,100M,0,0,0,0
75737718.001.000023775,140,2019-03-01,2020-02-29,12,1,196,30M,0,0,1,0
94473568.001.000073815,27,2019-10-01,2021-09-30,24,20,140,100M (FTTO),0,0,0,0
93585628.001.000090950,9,2018-10-16,2020-10-15,24,8,504,100M,0,0,0,0
94754397.002.000083403,17,2019-11-25,2021-11-24,24,21,178,100M,0,0,0,0
94164084.001.000069011,66,2018-05-06,2020-05-05,24,3,331,100M,0,0,1,0
90609942.002.000033109,112,2019-06-01,2021-05-31,24,16,190,100M (FTTO),0,0,1,0
95206983.001.000083656,14,2019-05-15,2021-05-14,24,15,202,100M,0,0,0,0
70967773.001.000003501,201,2018-07-20,2020-07-19,24,5,160,100M,0,0,1,0
94205226.001.000069564,55,2019-10-31,2022-08-30,34,31,140,30M,0,0,1,0
95819603.001.000090844,13,2018-09-07,2020-06-09,24,7,360,1000M (FTTO),0,0,0,0
95334462.001.000085285,18,2019-10-26,2021-10-25,24,20,455,100M,0,0,0,0
95330064.001.000085216,18,2019-10-13,2021-12-10,24,20,90,100M (FTTO),0,0,0,0
75666982.001.000023290,133,2019-03-08,2021-07-03,24,13,188,30M,0,0,0,0
74676602.001.000018622,143,2018-05-18,2020-05-17,24,3,160,100M,0,0,0,0
94787959.001.000078631,27,2018-05-06,2020-05-05,24,3,160,100M,0,0,0,0
95388088.001.000085735,21,2019-09-23,2020-09-22,12,7,198,100M,0,0,0,0
91079079.002.000067841,49,2019-12-16,2021-12-15,24,22,380,100M (FTTO),0,0,1,0
75314062.001.000062108,88,2018-09-23,2020-09-22,24,7,411,100M,0,0,1,0
94524352.001.000077927,38,2019-11-21,2022-03-20,28,25,1144,100M,0,0,0,0
75490623.001.000022375,129,2019-01-13,2021-12-01,24,11,198,30M,0,0,1,0
94512092.001.000074301,42,2018-08-05,2020-04-08,24,6,312,100M (FTTO),0,0,0,0
94056280.001.000067535,63,2019-11-19,2021-11-18,24,21,198,100M,0,0,0,0
75657387.001.000023252,135,2018-07-30,2020-07-29,24,6,398,100M,0,0,1,0
73087504.001.000025116,121,2019-11-08,2021-07-11,24,21,1032,10M,0,0,1,0
75434571.001.000021994,135,2019-07-01,2021-06-30,24,17,178,100M,0,0,1,0
95395232.001.000093194,10,2019-03-05,2021-04-03,24,13,910,1000M (FTTO),0,0,0,0
77596211.001.000086719,17,2019-12-04,2021-03-12,24,22,180,100M,0,0,1,0
74781485.001.000018680,147,2018-07-27,2020-07-26,24,6,164,10M,0,0,1,0
71153399.001.000004201,183,2019-05-20,2021-05-19,24,15,2716,100M (FTTO),0,0,0,0
95588141.001.000088064,17,2018-12-20,2022-03-19,39,25,328,1000M (FTTO),0,0,0,0
96029277.004.000093054,4,2019-02-22,2021-02-21,24,12,456,1000M (FTTO),0,0,0,0
95513164.001.000087250,21,2020-01-10,2022-09-01,24,23,860,1000M (FTTO),0,0,0,0
94898038.001.000080303,30,2018-07-30,2020-07-29,24,6,340,100M,0,0,0,0
90530809.001.000031261,108,2019-04-13,2021-12-04,24,14,228,30M,0,0,1,0
93780096.001.000063545,70,2019-02-01,2021-01-31,24,12,1200,100M,0,0,1,0
94912847.001.000080457,32,2018-09-13,2020-12-09,24,7,136,10M,0,0,0,0
74551334.001.000017441,163,2019-03-04,2021-03-03,24,13,208,100M (FTTO),0,0,1,0
70884515.001.000084870,26,2019-08-16,2020-08-15,12,6,452,30M,0,0,1,0
94748068.001.000078056,37,2018-03-30,2020-03-29,24,2,140,100M (FTTO),0,0,0,0
94333820.001.000090922,5,2018-09-28,2020-09-27,24,8,180,100M,0,0,0,0
71779623.001.000006312,196,2019-02-07,2021-06-02,24,12,320,30M,0,0,1,0
92187160.001.000056620,97,2019-03-27,2021-03-26,24,14,210,30M,0,0,1,0
90224072.001.000029289,120,2018-12-04,2020-03-12,24,10,170,30M,0,0,1,0
93583912.001.000062053,70,2018-10-14,2020-10-13,24,8,130,30M,0,0,1,0
73224420.001.000011639,179,2018-07-20,2020-07-19,24,5,163,100M (FTTO),0,0,0,0
91523555.001.000052736,91,2018-03-20,2020-03-19,24,1,331,10M,0,0,1,0
94496726.001.000074188,32,2019-08-04,2021-03-08,24,18,354,100M (FTTO),0,0,0,0
73389967.001.000012205,159,2019-08-09,2021-08-08,24,18,198,100M,0,0,0,0
74468323.001.000017082,147,2018-10-01,2020-09-30,24,8,198,10M,0,0,0,0
90101932.002.000075840,28,2017-10-16,2019-12-15,26,-2,288,100M,0,0,0,1
91066977.001.000085751,8,2019-09-01,2021-08-31,24,19,198,100M,0,0,1,0
94898012.001.000080301,29,2018-09-13,2020-12-09,24,7,90,100M,0,0,0,0
95460754.001.000086690,17,2018-01-12,2021-11-01,36,11,2200,1000M (FTTO),0,0,0,0
90412503.001.000030308,114,2019-12-30,2023-04-29,40,39,292,10M,0,0,1,0
94361359.001.000072199,53,2019-01-15,2021-01-14,24,11,144,100M,0,0,0,0
94142569.001.000087507,9,2020-02-02,2022-01-02,24,24,444,100M,0,0,1,0
93738888.001.000063010,80,2018-10-25,2020-10-24,24,8,170,100M (FTTO),0,0,1,0
94950896.001.000091962,4,2019-03-15,2022-05-14,38,27,530,100M (FTTO),0,0,0,0
72900061.001.000010648,161,2018-03-30,2020-03-29,24,2,380,100M,0,0,0,0
95152864.001.000083128,32,2019-04-03,2021-02-04,24,14,110,100M,0,0,0,0
75932087.001.000024738,135,2018-10-28,2020-10-27,24,9,180,100M,0,0,0,0
94984267.001.000081472,30,2019-01-16,2021-01-15,24,11,95,100M,0,0,0,0
94341906.001.000071867,61,2018-10-08,2020-07-10,24,8,172,100M,0,0,1,0
74619529.001.000017860,150,2018-07-12,2020-11-07,24,5,398,100M,0,0,0,0
94450780.001.000073521,51,2019-04-28,2021-04-27,24,15,198,100M (FTTO),0,0,0,0
95076063.001.000082323,22,2019-07-06,2021-05-07,24,17,140,100M,0,0,0,0
90376443.001.000083716,22,2019-05-29,2021-05-28,24,16,538,100M (FTTO),0,0,1,0
96359716.001.000095523,2,2019-08-19,2021-08-18,24,18,178,100M (FTTO),0,0,0,0
91331264.001.000059763,84,2019-03-23,2021-03-22,24,13,140,30M,0,0,1,0
94489374.001.000074041,31,2019-08-01,2020-07-31,12,6,740,100M (FTTO),0,0,0,0
95368858.001.000085540,4,2019-09-19,2021-09-18,24,19,222,100M,0,0,0,0
94704442.001.000077345,33,2020-01-27,2022-01-26,24,24,160,100M,0,0,0,0
91957290.001.000055531,109,2018-02-22,2020-02-21,24,0,156,10M,0,0,1,0
94561362.001.000085355,14,2019-08-01,2021-07-31,24,18,500,100M,0,0,0,0
94936465.001.000080804,19,2018-10-25,2020-10-24,24,8,576,100M (FTTO),0,0,0,0
94468006.001.000073750,41,2019-07-01,2021-06-30,24,17,178,30M,0,0,0,0
94926540.001.000080677,27,2016-09-21,2018-09-20,24,-17,90,100M (FTTO),0,0,0,1
91653402.001.000054063,109,2018-08-02,2020-01-08,24,6,140,100M,0,0,1,0
79006789.015.000062101,87,2018-12-01,2020-11-30,24,10,329,30M,0,0,1,0
92526011.001.000058003,101,2019-07-07,2021-06-07,24,17,178,30M,0,0,0,0
95243911.001.000084041,24,2017-06-20,2019-06-19,24,-8,337,10M,2,0,0,1
92714591.001.000068429,55,2018-01-01,2020-03-31,27,2,464,100M,0,0,1,0
70891353.001.000003026,193,2017-11-22,2019-11-21,24,-3,138,30M,0,0,0,1
94607827.001.000076098,49,2019-11-10,2021-09-11,24,21,4539,30M,0,0,0,0
91352351.001.000082950,17,2019-03-23,2021-03-22,24,13,606,100M,0,0,0,0
70843834.001.000002831,207,2019-07-03,2021-02-07,24,17,210,100M,0,0,1,0
94970837.001.000015908,160,2018-10-01,2020-09-30,24,8,460,10M,0,0,0,0
75151415.001.000093759,6,2019-04-18,2021-04-17,24,14,332,100M,0,0,1,0
92754043.001.000084728,6,2017-08-04,2019-03-08,24,-11,343,100M,0,0,0,1
91412585.001.000051111,96,2019-12-01,2021-11-30,24,22,431,10M,0,0,1,0
95661831.001.000088929,15,2018-06-01,2020-05-31,24,4,257,100M,0,0,0,0
95699427.001.000089466,4,2018-06-29,2020-06-28,24,5,198,1000M (FTTO),0,0,0,0
72085335.003.000031998,109,2017-04-20,2019-04-19,24,-10,456,10M,0,0,0,1
92925726.001.000059443,90,2017-11-04,2019-03-11,24,-3,242,10M,0,0,1,0
75729244.001.000023730,138,2018-04-01,2020-03-31,24,2,208,100M (FTTO),0,1,1,0
95022653.001.000081848,26,2018-12-22,2020-12-21,24,10,298,100M,0,0,0,0
90418609.001.000030345,130,2013-06-21,2015-06-20,24,-56,500,100M,0,0,0,0
94428968.001.000073239,54,2017-05-06,2019-05-05,24,-9,550,100M (FTTO),0,0,0,1
95144432.001.000083042,15,2019-03-24,2021-03-23,24,13,140,100M,0,0,0,0
94848306.001.000079557,38,2018-08-25,2020-08-24,24,6,90,100M,0,0,0,0
91855239.001.000054957,98,2018-06-27,2020-06-26,24,5,140,100M (FTTO),0,0,1,0
72454697.001.000009482,170,2015-03-05,2017-04-03,24,-35,236,30M,0,0,0,1
95962304.001.000092038,2,2018-11-26,2020-11-25,24,9,116,30M,0,0,0,0
75561936.001.000022742,134,2018-04-04,2020-03-04,24,2,267,10M,0,1,0,0
76177591.003.000070321,45,2017-05-03,2020-02-05,36,3,1260,30M,0,0,0,0
95105532.001.000082608,31,2019-03-28,2021-03-27,24,14,158,100M,0,0,0,0
76566074.001.000057338,92,2018-03-31,2020-03-30,24,2,168,100M,0,0,1,0
77924611.001.000084579,17,2019-08-07,2021-06-08,24,18,270,100M (FTTO),0,0,1,0
93468981.001.000061458,72,2018-06-26,2020-06-25,24,4,500,30M,0,0,0,0
95411336.001.000085988,18,2019-10-20,2021-10-19,24,20,90,100M,0,0,0,0
73638603.001.000056350,87,2018-06-30,2020-06-29,24,5,376,100M,0,0,1,0
90969189.001.000039921,121,2018-05-06,2021-05-05,36,15,175,10M,0,0,0,0
95246641.001.000084136,18,2019-07-06,2021-05-07,24,17,1378,300M (FTTO),0,0,0,0
95348041.001.000085377,12,2017-09-08,2020-07-09,36,7,158,100M (FTTO),0,1,0,0
75076307.002.000074352,42,2019-07-20,2021-07-19,24,17,197,10M,0,0,1,0
94973062.001.000081301,22,2018-11-30,2020-11-29,24,10,257,30M,0,0,0,0
95315701.001.000084884,15,2017-12-29,2027-12-28,120,95,0,1000M (FTTO),0,0,0,0
94983327.001.000081461,16,2016-11-14,2018-11-13,24,-15,140,100M,0,0,0,1
90416777.001.000030323,111,2019-08-01,2021-07-31,24,18,178,30M,0,0,0,0
90530874.001.000089885,2,2018-07-16,2020-07-15,24,5,220,100M (FTTO),0,0,1,0
